Region,Humidity (%),Soil Type,Temperature (°C),Terrain Type,Rainfall (mm),Wind Speed (km/h),Sunlight Hours,Water Availability,Crop Type,Soil Moisture (%),Evapotranspiration (mm/day),Irrigation Frequency (days),Rainfall Forecast (mm),Vegetation Index,Topography,Water Absorption Capacity,Irrigation System Type,Distance to Water Source (km),Recommended Irrigation Level,Daily Irrigation Water (m³)
Casablanca-Settat,85.9774496515064,Silty,11.417073851490656,Valley,287.3516019597439,42.489084937011526,10.694841687067871,Medium,Olives,45.15039312460841,2.824718486445056,3,195.93553330805787,0.6171483725924413,Flat,High,Drip,45.40167106749427,Low,9.599366284727704
Draa Tafilalet,61.72212200060679,Clay,28.455469659507788,Coastal Plain,246.7208502812829,28.11863911855997,7.489167758567219,High,Almonds,57.22875486267714,3.858251099909968,11,83.5740035033331,0.3766849606561612,Flat,Medium,Sprinkler,41.22954393863142,High,10.194993550583543
Tanger-Tetouan-Al Hoceima,69.76752237886377,Silty,21.71999328496434,Mountain,489.6879098332273,21.615038499209803,6.028993330143477,Low,Grapes,83.13988211536865,4.836195009580579,6,116.25006718085238,0.2804937113668746,Flat,High,Sprinkler,47.86085531026358,High,12.0
Fes-Meknes,57.24807903960377,Silty,37.24935589314897,Coastal Plain,79.08494520471304,15.197595333085406,5.160145616553324,Low,Wheat,10.070801349009876,8.956676859183546,12,118.86292086227417,0.8918786194462479,Steep Slope,High,Subsurface,8.21496819795081,Low,9.377152887744044
Souss-Massa,38.55610886423008,Sandy,41.12007366985249,Plateau,499.9504885046158,34.11412023010551,9.621232684410757,Low,Barley,148.86655341436827,5.876752382879271,9,30.043589514292112,0.1065352022016564,Gentle Slope,High,Subsurface,22.83875056231794,Medium,12.0
Tanger-Tetouan-Al Hoceima,82.2728474809932,Silty,17.61830566230784,Plateau,369.1094527701711,11.407686412953954,7.033394193348272,High,Grapes,99.95229895504464,4.103992331660372,13,21.161044145299023,0.4393103204835477,Flat,Medium,Surface,16.68963514012612,Low,7.235147530089533
Draa Tafilalet,61.42820585770955,Silty,25.946088812558173,Valley,57.33160307098017,27.694669420800643,10.135082827158609,High,Almonds,14.700468042671744,3.2608103728324838,6,157.9103293182961,0.2546595032810178,Steep Slope,Low,Surface,21.643694051119507,Medium,10.589927704376922
Tanger-Tetouan-Al Hoceima,71.90847159461894,Silty,20.82441075772664,Mountain,275.93997105931953,48.27734589469727,10.693586404191391,High,Grapes,41.032116132510346,4.838097501036582,9,20.42479128169428,0.4812760949908004,Gentle Slope,Low,Surface,11.516456008367523,Medium,10.68354786285366
Casablanca-Settat,39.2724599040164,Silty,42.03381594107655,Coastal Plain,154.51340631021571,30.605470470316853,7.18103387080601,Medium,Dates,28.02014893742913,7.702931833335548,1,153.68890847700283,0.2017591441988246,Flat,Medium,Subsurface,34.385956376718774,High,12.0
Fes-Meknes,46.51459095176091,Clay,36.540699972965264,Valley,212.2188020004468,6.398073080091288,5.419602456449476,Medium,Barley,33.80300049503458,4.339716951854162,13,36.23860131007064,0.1778813624321251,Steep Slope,High,Surface,4.338170544197912,Medium,10.04204106888666
Rabat-Salé-Kénitra,50.159696977785046,Clay,40.14372848140728,Coastal Plain,58.40615840606134,19.39831666919121,6.351890706759039,Medium,Grapes,17.293897080079756,8.271710386308351,8,55.15878152036122,0.1368537067447731,Gentle Slope,High,Drip,40.54222168375473,Medium,12.0
Tanger-Tetouan-Al Hoceima,56.65654751718007,Silty,37.95466008449236,Plateau,237.2115971443993,25.04900817164514,11.679902432647127,High,Wheat,55.15284651741048,6.531403425927574,5,196.40548241123665,0.4802899563018524,Steep Slope,High,Drip,18.15674310625248,High,12.0
Marrakech-Safi,58.85120274120012,Loam,32.7627946173406,Valley,439.8976037467298,32.31965257540391,5.875178492439255,High,Barley,53.737465585843,6.94982562645145,6,155.34235557818255,0.2271092501103866,Gentle Slope,High,Sprinkler,13.756541133643967,High,12.0
Draa Tafilalet,55.04812235302906,Clay,30.478496449074512,Plateau,458.5257960201898,9.95735582600582,11.233791095914178,Low,Barley,85.32641775353709,4.667333787296626,3,142.8037561838024,0.2472387696140651,Steep Slope,Low,Subsurface,11.478336859731284,Medium,12.0
Fes-Meknes,69.01737551672304,Loam,21.49232258337513,Plateau,103.83732417955332,0.4900263466985521,8.628202479594524,Medium,Grapes,21.63756168725845,5.5877054354900375,6,140.13641776270077,0.2526183289844972,Gentle Slope,High,Surface,1.0083915130307868,Medium,9.259008916195029
Draa Tafilalet,58.38697894919902,Loam,28.68022314732282,Mountain,234.28068806670623,23.82413170873573,6.387665479039205,Medium,Citrus,64.33228569646468,4.511401997013954,12,62.9074089687031,0.4825324658022707,Gentle Slope,High,Surface,14.480420082422595,High,9.114028151227505
Casablanca-Settat,61.544435897295685,Silty,33.02224425333625,Mountain,463.20693929184887,2.8811690842080906,5.768454690207201,Low,Grapes,114.89922020689605,8.102005807990619,8,36.58908066328455,0.567463128481659,Gentle Slope,Low,Sprinkler,2.509937939377948,Low,12.0
Tanger-Tetouan-Al Hoceima,68.32711349751935,Clay,29.534695534487525,Plateau,496.74176085312473,42.6173900476319,8.662070295197552,High,Citrus,126.67905079125552,8.764544047258,2,46.51339023728176,0.4849979701850421,Steep Slope,Medium,Surface,27.27149102973013,High,12.0
Casablanca-Settat,61.60242457606704,Loam,26.643428256916767,Valley,334.26256922305686,33.20361838419278,11.161680320568184,Low,Olives,58.15819904094111,4.366617966847691,4,132.60496474705542,0.7430383165814995,Gentle Slope,Medium,Subsurface,12.946322742725451,High,12.0
Souss-Massa,84.88241097876588,Clay,12.928834588669408,Valley,277.4471880876047,8.858271063238632,6.481086830268444,High,Wheat,62.80990699486121,3.814883150053101,1,127.60538910187064,0.2320700497621296,Flat,Medium,Drip,18.03869841382453,High,8.679467894899336
Casablanca-Settat,70.94174552394234,Clay,21.56088518888963,Valley,434.49970397590135,3.215076544564216,11.979959107543394,Medium,Grapes,67.13877487335319,5.35398937366359,13,112.25929057585438,0.4557698223304979,Steep Slope,Medium,Surface,32.277756206793256,Medium,9.163143060357758
Rabat-Salé-Kénitra,55.37242470735964,Loam,37.49693815007993,Mountain,372.2835976051582,21.03530351965993,5.766427958929897,Low,Dates,88.96607017938963,7.130084030897818,7,36.84699820624522,0.356223639868559,Steep Slope,High,Drip,42.4908824020572,Low,12.0
Casablanca-Settat,70.96366650291948,Loam,23.115585788751595,Mountain,283.6699647844678,5.127406296232328,7.975495218418869,Low,Citrus,72.13156853224432,5.974088119187484,12,155.54207137738737,0.7489123539657343,Steep Slope,Medium,Surface,12.216000852078071,Medium,8.399597554014894
Souss-Massa,45.72515279769642,Loam,42.470629792405134,Mountain,411.7871386756536,47.60121385847865,10.521458821319428,Low,Dates,75.10740328914933,10.80934636170989,2,109.05817886151284,0.657118634730932,Gentle Slope,High,Drip,13.088519423590284,Medium,12.0
Tanger-Tetouan-Al Hoceima,70.79809723849692,Sandy,24.49968966564589,Plateau,484.5009370710765,19.50582386471341,6.003592181867248,High,Dates,135.8036142181877,4.579861347302059,11,104.83084903079492,0.5007627511624778,Flat,Low,Sprinkler,22.611979047365995,Low,10.895851288130208
Draa Tafilalet,70.2709222305144,Loam,26.725705697857016,Coastal Plain,145.89732336186262,48.813503162056094,11.979808301984711,Low,Almonds,15.698425471171484,3.162693181968988,14,34.620056146526146,0.6640447678821961,Gentle Slope,Low,Sprinkler,1.1434833724854614,Medium,7.003509982870329
Marrakech-Safi,46.82704960302139,Clay,39.43111418490197,Coastal Plain,310.171430658608,49.2951913561732,5.73063850173709,Medium,Barley,63.796811096483175,10.535473262597554,7,192.18930765973144,0.4586437648447261,Steep Slope,Medium,Drip,31.288806842028794,Low,12.0
Fes-Meknes,76.31648862473591,Clay,17.271224555426663,Mountain,311.3805961700943,32.8004054235459,9.344292707621817,Medium,Barley,38.61038392293228,5.020480661211441,6,43.56223787521516,0.8575321519431335,Flat,High,Drip,15.35798418551108,High,11.695809269313983
Casablanca-Settat,67.18346797166502,Loam,30.936785748126272,Coastal Plain,317.6997787395561,10.671306698420551,10.51489803373934,Low,Dates,37.09488564680596,5.498293297463124,1,112.08754369382255,0.4311237728818066,Gentle Slope,Low,Drip,21.29974429409937,Medium,12.0
Marrakech-Safi,53.53842612616325,Silty,39.48248757014338,Plateau,166.51921169933664,32.31247509301902,11.091945971773484,Low,Barley,43.66861262216343,7.02677175541431,4,154.5091493721679,0.4097588589586808,Flat,High,Drip,35.88360547260804,High,12.0
Casablanca-Settat,44.84833826706731,Silty,44.772554613849785,Valley,373.15308474380464,42.86673224614384,5.996605706495116,Low,Wheat,96.15390670866056,7.914377070545204,13,83.34074855903219,0.7506295223380572,Flat,High,Drip,45.59580797215892,Low,12.0
Souss-Massa,85.19087356873912,Silty,14.335819785344666,Mountain,372.5758267633929,41.70222081107411,10.791554098432268,High,Wheat,45.87793617440438,2.555560869112217,11,180.3366057565601,0.4954772805434385,Flat,Low,Sprinkler,1.0446028797894005,Low,8.125628223072248
Rabat-Salé-Kénitra,75.858066712013,Sandy,22.05534009499785,Coastal Plain,65.79703852575508,20.92827990686793,7.257884516623018,Medium,Citrus,14.579544561368122,4.0467573900006375,4,21.924483871228407,0.4432369747019242,Gentle Slope,High,Surface,46.07249061246348,High,8.47186731563876
Fes-Meknes,66.72498225023817,Sandy,24.02447484351385,Valley,494.8464338932611,40.12711285786708,6.11859022652318,Medium,Tomatoes,69.09436147532934,2.9725772205603294,3,91.18135416052196,0.2383614807430352,Flat,High,Subsurface,16.158464137303206,High,12.0
Rabat-Salé-Kénitra,77.09626125694206,Loam,18.156753448361545,Valley,59.0813192669748,31.76295693234635,9.679660055251766,Low,Barley,16.79944384089056,3.025856001031744,10,15.707914169615522,0.3936031566975325,Steep Slope,Medium,Sprinkler,46.85358430347717,Medium,5.329897435251697
Draa Tafilalet,52.84660976983483,Silty,32.71821091884918,Mountain,87.0320687036542,6.70413859774916,6.687158469903888,Low,Barley,11.865273383515534,6.94121673823514,4,111.9803860820756,0.5191128283063267,Gentle Slope,High,Subsurface,14.2140345445629,High,12.0
Tanger-Tetouan-Al Hoceima,67.76395689648461,Clay,22.275147830898785,Coastal Plain,373.3257164187975,30.224929626658064,7.774732463759827,Low,Tomatoes,85.46788074318978,5.634346668871405,12,85.60068766016404,0.2598216574962624,Gentle Slope,Low,Subsurface,17.04024635253273,High,9.264078666702114
Marrakech-Safi,38.27774413344611,Sandy,44.92702970443007,Valley,113.169139218743,34.260537316923454,6.656265398136809,Low,Dates,28.46622722313994,6.98981022547629,12,189.48382534341613,0.8045201171031136,Steep Slope,Low,Drip,13.96610394685441,High,12.0
Oriental,62.27349492839701,Loam,37.57526518549404,Plateau,150.31345326932427,10.472618751267005,9.750366997181947,Medium,Dates,24.44933597266365,8.650628217983853,14,52.67931641613455,0.2431322308671437,Flat,High,Drip,15.251193583636994,Low,9.369353114164422
Casablanca-Settat,66.8236550650907,Silty,28.625511974469248,Plateau,322.8469341919589,12.848503885957223,8.829895679613728,Low,Tomatoes,54.75680554147025,4.798545115371869,13,69.07823289913644,0.6941161622413968,Flat,Medium,Drip,25.01096457586491,Medium,9.70277485876638
Oriental,40.02363833552236,Loam,44.93692577507501,Valley,221.2686078886468,39.35280479228665,10.146111585435804,Medium,Barley,24.907189008308382,9.864799697014966,11,193.9142366946656,0.6792036871425424,Gentle Slope,Medium,Drip,44.37545674971241,Medium,12.0
Casablanca-Settat,67.15217387390544,Loam,22.27458146007546,Plateau,99.26434519270704,30.144369450233626,10.14883940921372,High,Olives,17.721306100965194,5.138931357734564,3,55.29764268895014,0.422319353070462,Steep Slope,Medium,Drip,36.403719335545496,Medium,9.815870628130089
Souss-Massa,39.271286142927934,Sandy,43.92723650469389,Coastal Plain,198.28928065578864,5.1392789278648205,9.751920148353882,Low,Almonds,26.292048989065336,6.027189389680456,12,155.79250117485748,0.6126099190310667,Steep Slope,Low,Sprinkler,6.070108575844935,Medium,12.0
Marrakech-Safi,75.95229372321965,Loam,17.155622847298204,Plateau,73.70688324221369,3.000540942804386,7.2236285997064815,High,Olives,10.12973558736511,2.502487692698897,12,106.90356174965096,0.6116179563833346,Flat,Low,Drip,41.01763916583923,High,4.042085898497987
Fes-Meknes,67.893206982034,Sandy,30.192274850987523,Plateau,342.66939096067813,17.737546797313836,9.613925426888445,Low,Grapes,78.13287891272333,4.223467232448246,11,177.3065185917267,0.5867172283146678,Steep Slope,Low,Sprinkler,46.326132196992525,Medium,12.0
Rabat-Salé-Kénitra,55.45341420448575,Clay,30.57599921754236,Plateau,362.4352528570333,37.55268956067669,7.316670336055445,High,Citrus,64.53416475413718,6.750580376167737,4,141.74080062081384,0.4486728938402738,Steep Slope,High,Drip,32.832009632917,Low,12.0
Draa Tafilalet,60.41868948129817,Loam,36.48108744028491,Mountain,379.2233500037878,33.89255921534174,9.452829100469152,Low,Citrus,68.5244422731061,7.488554152046526,9,31.163581488090703,0.7573496216614507,Flat,Medium,Sprinkler,42.911064153716495,Medium,12.0
Draa Tafilalet,78.91424985429128,Loam,20.431459442142007,Plateau,346.0153475765567,37.77853515497621,5.241428037756176,Low,Dates,102.22668713183572,4.027265372083336,9,136.2621882019345,0.4479664658063771,Flat,Medium,Drip,2.857330163601293,Medium,10.79869559468738
Draa Tafilalet,61.27332914928024,Loam,29.704352658034303,Mountain,45.31221836010746,22.818829662397256,10.633425068441246,High,Barley,8.57449013018395,3.913072183517008,9,87.70816568844242,0.3673221837438161,Flat,Low,Surface,19.42530551075504,High,10.085703792021244
